"","counts.CD8T","counts.CD4T","counts.NK","counts.Bcell","counts.Mono","counts.Neu"
"GSM1920418_8221924024_R02C02",0.000973967179088867,0.112434649931271,0.0726580833730123,0.0454345514598988,0.080355825237505,0.69596527170029
"GSM1920419_8221924024_R02C01",0.0398881861537635,0.13934995543467,0.0271141380562634,0.21818507462736,0.0702484510719598,0.542085875416203
"GSM1920420_9376525060_R02C02",0.109099591795909,0.199207389058252,0.0106186187167427,0.27969510374656,0.0992154228684293,0.356449508910068
"GSM1920421_7497398001_R05C02",0.0366362961237401,0.19289950190585,0.0316921942441795,0.11059500606336,0.122300099182669,0.539942590777052
"GSM1920422_8221924024_R03C01",0.210784611300956,0.0670013188237059,0.117722110624298,0.102056211670489,0.0866895231463665,0.432886646384067
"GSM1920423_8221924015_R04C02",0.0755994424784975,0.101873561454043,0.0517917519428743,0.0553963220815763,0.0939484302243231,0.636375872151968
"GSM1920427_9407210022_R05C01",0.0486391036015214,0.0256604956203731,-2.84564189948491e-19,0.0524891741510765,0.0427776371757981,0.851670118678049
"GSM1920428_9344730057_R04C01",0.112046376327511,0.162849798381865,0.0314456447363338,0.191983819541683,0.105867306860488,0.42245961498582
"GSM1920429_9388306067_R02C02",0.212177941559901,0.131780907997172,4.42534976326984e-19,0.171530236000365,0.0760411745738583,0.442162010693449
"GSM1920430_9388306067_R01C01",0.147469205875296,0.188119570989053,-3.95479973963639e-18,0.306656690988402,0.0668998877810504,0.323831458137251
"GSM1920431_9388306067_R04C02",0.149473207344524,0.132899327904073,0.0206468248712771,0.212848620562332,0.111035431966223,0.393803092236091
"GSM1920432_9407210022_R03C02",0.089124995428233,0.140076386609227,0.0531442132823716,0.147948375548726,0.0750109902223998,0.536201537908738
"GSM1920433_9343114231_R01C02",0.158466571451181,0.110791725600851,8.86212218140032e-20,0.130685432966675,0.0741136751837395,0.557211867836721
"GSM1920434_9344730057_R05C01",0.0672561273673318,0.0470501231470188,0.00884083044027238,0.0821434329722345,0.070439240357626,0.762858028176717
"GSM1920435_9343114231_R04C02",0.0745790738743186,0.196013367700537,0.0103970107137231,0.246806260389404,0.0894160881990745,0.425253598297056
"GSM1920436_9344730139_R02C01",0.129448964112916,0.152366293994168,0.00457348263551827,0.179584496471787,0.0801216683301986,0.483408493438876
"GSM1920437_9343114231_R02C01",0.0433856365424671,0.0975925780630692,0.105980248698638,0.0904619248126488,0.108569940800778,0.590502416724454
